a,b,c
9726.008706861294,14811.732204779491,23275.55050842151
11381.830969334933,12211.943121285263,16090.97473319435
15200.510272957685,16101.850989728631,15655.104346366852
11240.317904963258,13191.85227745114,17506.29616288015
12234.40621941484,17062.027301079994,20348.870690027474
11600.340639911656,12882.308556113827,19206.926132282693
10295.500307012962,16348.08013310716,16902.614325120536
8714.963603955719,15416.231820123825,17917.22258202746
10301.314555174245,12482.976998630284,20385.189658079988
10582.211533250444,16307.892298769077,19547.0254206794
12173.246382364396,12106.567570000405,23586.417029902852
12677.96682774901,12272.818903301071,20313.0793647158
12862.204162607115,15515.593713436654,18813.20459680605
11571.174650508518,12686.781796921425,19413.870434403132
12770.282328541456,12752.929558765529,17197.33636089423
9491.204118006695,13277.808510658177,15751.122096474177
13505.736310466575,11899.644701267716,18395.501403985458
12025.859640836017,16194.488260315185,19128.29040076217
10403.814329794568,15277.880866818185,14790.849042349748
11977.036293074994,13854.409736949987,16798.5801301879
10848.856573957888,13772.376658935566,17150.71142579337
13263.258774902853,14945.326576811076,18610.977525782855
14039.633632844398,17707.20371109005,17400.928064609627
15371.150813066322,15829.036585317708,19023.722433792514
8207.007329023725,12932.24001802166,18225.65816631058
8111.77238914082,15632.580331022611,20438.753271060657
9991.068274107098,13750.580538583512,14064.314382863668
11320.074138895661,13582.103814012178,21811.38666749873
12752.33784223245,17919.589887819464,21260.65022989853
11631.26989448321,13120.230414875941,18115.729298138413
6955.597568351994,12993.711678232448,19495.743392780394
10387.591974743256,9900.578896785013,19395.06132095058
12655.949285214492,11055.108794548412,16304.233856152157
11460.189470728767,14947.358171342657,18378.729651453174
12524.022360624049,12540.666107510999,19789.800611929004
10555.343714779281,15082.368983744806,18712.578544797223
10598.483862140005,11658.770790031533,20418.037766052126
11373.122781976568,12388.649364703357,18218.491053159072
11820.103294416513,15416.598484607608,18185.727273832945
11396.59944025354,17067.873998972464,16234.051384143511
11238.017291614917,15244.192882990441,17161.562485674734
9658.675427421938,16515.444767614626,16942.649333612444
11755.127572641839,17579.647759882053,21922.612090837516
11243.642541982874,16184.1872216236,18553.162769938932
13258.967815823838,12071.275919569945,15701.319046876188
13397.835759803014,13778.77610373416,18916.776292771305
11370.312834967888,15323.410908438313,17558.3914977486
10249.430099819772,13128.821507294706,10976.3419250195
9722.539185091555,14949.086678374568,19103.66045365378
11846.988708128225,10683.771800671622,14428.792798693277
11154.68013669712,12259.881244401548,19330.468166589355
10312.292648857849,15110.647465728865,15789.093722229827
11087.193713668494,9302.11832666381,14645.853741095745
9759.998312103742,11673.80374520244,19136.985797259473
12396.064068144438,13962.791532388701,14563.354339868227
10105.742870428003,10389.271603299001,16972.591832002625
13449.015409610998,14119.954091772393,18470.068008318674
11806.9832835816,12320.950269547304,19408.134803194524
12187.157046474134,13387.651349448251,19713.2344338135
8810.176308517915,13456.136007858882,17916.553036326484
11338.764866117337,14397.515714873181,16085.490700316015
12481.11290219255,12816.043657377164,22424.77547973313
9092.59879638413,14188.34145537744,16606.242962761225
10467.562987992756,12737.570718636294,22148.254657418944
11065.229093386717,15167.75437116251,16959.19256144674
8253.765359506488,17556.99913790497,20670.957094686157
11630.318784084584,14413.426536425612,20460.920739585305
12692.321295170066,14356.7254362299,15595.271231033143
9280.968118336028,11555.583260561476,18817.15436611433
11701.091957328215,15456.069073886807,19737.40166713897
8375.433177525138,12408.058610031912,19612.25887950346
10922.608981467898,12301.42088740853,17542.44386434704
7768.455290593411,15170.62285100187,18694.508104434135
13242.835416471327,14380.181363151529,17092.213733710218
11817.801075873656,16325.068446993031,15304.829227791419
10950.766088248443,17030.041549842248,20263.22814496255
9449.676761661682,12866.668719374766,16712.73272958732
13547.511860317554,14269.591679327483,21173.4438406943
14934.203498509469,17696.871885508175,19385.637072851103
7284.036271106495,16029.732425481021,15946.912650920367
13472.32806090564,15497.403005636865,17629.243865055156
14255.301506297812,16743.032736784444,17341.3146945911
11676.023393148951,12730.33376475481,15996.95840580049
8601.463935329628,15336.825159770724,19153.28805675466
12726.690635088044,16959.432117664415,16899.187630119275
10638.159395843699,17403.91579980567,21752.890481350834
9792.158744413486,12307.01188349733,19980.04985434239
8539.883728666076,13471.484163974008,15975.565151554367
12101.074991952431,14803.701864821163,17956.29880044117
12585.613731838695,13393.105579679386,17478.451558009958
9752.938540640416,13177.185896403098,14401.631936234247
12041.152674146742,15436.4027891821,20141.888061166675
8711.317220753714,13257.83903597927,20184.560274986055
12603.722063742689,10245.382928480598,20128.652793815487
11093.134596848291,14759.879363263093,16948.927927534864
10626.860456185303,13108.565139801052,20458.66773472351
10796.50825494171,12463.7849383663,17517.568248528125
12737.772314011736,10711.9498836226,20150.83989305947
12500.823279730017,16129.027180640582,22168.813974770343
12058.930648705418,9323.06347311497,18322.25272700093
11275.402419994773,10431.399430083178,14735.95781256768
11155.642255825413,13420.7232686216,17271.127247984805
12236.760523997049,16580.806729866465,19474.267492682065
11464.989118357476,16750.382401933573,20805.71107177043
12365.10281372897,11574.536466648335,15392.27831859477
10379.76645296388,13626.972388434542,17561.73891537866
6130.324471785722,10828.041612316105,18536.67999039828
13077.649203718829,16123.534833927308,19000.496145804536
15373.959293948516,10899.218412907621,20093.974286907094
11882.728887137164,13699.288935484801,15818.588790156267
10799.689533433,16169.265935794478,17025.999916381268
10727.110512207933,13532.930540087193,20318.32289848133
10761.89162445038,17087.336722034055,18902.370295585908
11034.818816600009,12172.982731299211,19031.27549679788
8755.962542506222,14775.299986048434,20588.244046927783
9965.811084159544,15791.89259022984,18239.322796330907
9005.946344699474,13706.605366073747,19214.407870765222
11497.59832277554,16911.25995491727,17276.50311759024
10406.717695258274,15151.072127845206,14906.476953382737
11990.42264795592,10561.355854682482,15020.906863853499
10650.593680514998,22313.065678479725,18170.937273470052
12972.670375642485,15362.1516525904,17541.010348608703
11427.067802670883,14225.420917029538,16494.41271239255
15381.399457939468,11062.4930808004,18731.43288176409
7207.2781542178145,14171.712419491794,15952.375430151027
9706.166623490184,13034.120055234556,18256.07571268083
12802.973783297422,15353.142698663676,17955.098115863373
16056.651413612795,14780.507611544917,16068.025496391832
10502.73044456908,17891.319918645695,12714.126474762941
11087.337986356779,14298.727882305267,21350.012988887385
10547.37151497279,15078.36150797595,18728.265642119102
13662.914225175184,14782.15938817403,11872.51033969708
10425.384273047963,13688.171413575274,17019.214179442897
12360.139679756208,13614.85958562795,18905.711781873433
10360.396802202658,16312.100425603812,17475.27641138895
8454.88248950801,15638.056984211122,19334.759258987426
11627.095440926863,12678.172631487061,15761.484553926748
12006.369626870652,11661.784183756721,18402.885777201558
13586.451765064523,13858.438947611607,17876.98750670914
10779.105947165368,16439.023961516228,17578.957429987462
9765.275872575277,13942.188288837246,17491.633525886828
12125.522193238052,17667.51368737874,18459.446976943043
11481.474184475464,12372.352397145787,20145.25925148261
11561.330154245277,14297.44512909819,16780.72445953988
10853.774592505444,8715.761891971928,17063.34794477256
13320.67713998754,12749.09745008839,18369.299481007776
11738.985432751448,13350.84523085209,17723.655056053878
14809.317416681963,15072.969326433387,18886.885272391948
13222.11339712101,17592.389861209384,19652.06869223499
12318.09959220042,14073.381537663854,20969.734476557016
7745.123318767485,17053.22692137852,17732.178458975173
12204.638560591258,15389.530260578564,12762.214607681159
11840.56440729412,16071.339578445335,17839.863559253205
12621.903345607112,13021.07480066555,18813.90198183053
13088.884189414517,16908.481821662142,17570.003461974677
10198.243616422147,11746.775014705545,17647.55682793569
12648.011236900815,15039.833083520665,12405.230420911641
9875.38913796182,12000.669588516856,19168.363974215372
14909.75615001807,12911.894339962615,17254.725643253983
8336.096666965503,10931.052430083577,14524.523801806534
7478.622879202433,12915.669391843354,15995.729249131597
7698.5574683518,14737.345482673027,16010.89113462915
9218.888831673903,13855.58202753486,19400.122889385915
8761.769202880543,11169.693623367306,19291.767622003834
14912.157807407284,17088.553699051874,21483.92587970918
10347.001003843632,14708.163970447764,19490.227068319713
8314.648421245129,16116.937409459102,14891.206413769349
13228.765953559585,15648.976531232845,14758.81866411396
9826.952122356815,12603.777689368851,20600.668315417002
8526.293246917205,9915.401386914718,21603.37826252113
12751.6778552986,12077.608826713416,17453.179374265663
12246.724353156065,16572.827283473784,19285.246872825755
10130.086634089545,11787.553245229337,14538.750047307121
13815.080000482458,15713.691737080528,13528.979955836889
11258.203159421451,12713.94535642947,15299.74554395146
14233.8991977146,14825.529414193365,17178.468691113063
12005.48176399981,10169.768309487094,16800.834313561514
14117.611081239718,16450.857848599924,17470.737654062086
11218.805392850856,13916.695729809988,16870.666804792047
8560.511206041934,15860.234177828404,19562.392633384225
15898.737298122795,14398.709463704501,21283.357988052892
9908.451664034865,15675.93397012778,18083.254164349
10602.324274222206,13785.94271754644,22668.994221113062
9599.20299015749,15561.04874137911,16540.869166308054
10593.211102070883,10829.897363129508,16792.26219394044
11485.338882163589,11730.507545864437,18891.789724308786
11403.660357748007,15523.495409411225,17183.96284737545
12322.040575197385,13917.725661960058,20707.220188286276
14584.316417951133,13519.616240437554,16525.452025044855
10759.070856422984,13622.814181232148,21042.196165749872
8533.758529107146,15053.622729624847,18446.602537475686
8635.363746980733,12753.97811609092,23900.541395648594
9668.490963601747,15071.645953165038,16932.535717009127
7651.608384762136,12076.837116955774,17533.804012272838
12650.059648877972,13144.770709658073,18334.99917975892
10003.572872737845,16068.398510610343,12983.635675711517
10378.030043394298,16249.630098476371,19385.209793338636
10996.217034323992,11695.975843463739,19105.946060509887
8206.759150809135,15761.132969179593,18251.432236982502
9277.367278447917,11817.717123726703,14447.889702810595
12349.423051375945,15539.348786610064,14442.909608072088
12237.078261572586,10012.494675429482,19349.22259278194
10113.656138598724,11654.067545877864,20702.910981381916
14621.069828250913,12931.15821657199,21667.26865319111
8388.546154884525,13650.379494739485,15940.484494915185
10310.025579690042,16989.590301632874,15629.164536154798
10538.32051372906,15898.398265407406,17374.540760725533
5413.82999970692,17308.482608002,13455.820673690176
14875.05762723216,16533.876585874692,16645.458295099386
11732.664029080117,13405.986541566826,19959.11616628523
8910.821236184416,13440.713542930687,21759.585753149655
15102.34688571489,16244.840406622652,18642.057543359726
12171.324000344764,14084.780005147963,21773.273391677118
11859.052280043928,13670.313287764033,18945.007757397863
9786.003203599908,11196.074281668098,18440.137004819517
11212.445448070435,13776.433744733366,17605.685268801673
7948.639367541285,8138.907545942922,18429.95520527559
12590.05218884969,13042.15313418776,17413.838221339054
10251.12336231356,11942.230471510218,17675.905269502637
11268.096393109246,15454.406129832647,16477.648779638752
13404.109724399412,12994.78805152711,18595.773374121607
11569.496221698117,13308.99174638373,18033.23135454091
11524.934890926537,16828.921475808045,14596.965920382943
11552.998609644368,11796.957735145907,17446.388845970432
9533.456792209374,14664.983679828974,16031.955797492654
12672.009438868537,10019.939410299421,13289.138944896218
14086.718221608968,14188.431146633768,19112.932393485044
12517.611320195861,14861.558065333373,21584.982985401475
12769.817628929766,15805.729040773516,23450.37943484928
9245.436962163623,12112.765294030844,21593.564917833814
9264.425554254149,14671.279578083646,15997.15642900146
8118.247951416321,14668.123819325248,20703.063483228525
13464.506141656871,13959.613568394961,20575.76770817912
10491.640264785263,14315.034185328388,13427.992077792369
13799.687884961972,14973.422075636498,19980.963585400335
9436.1766346264,14835.548892251887,19442.50718140051
10124.982034342838,11908.37713291436,18374.45897570562
11190.850174382515,11488.690828318588,18663.81844605665
12842.900137319022,19262.558599169213,18134.106980311393
11121.500391599013,18031.563801498985,21753.452451906564
11422.249510015434,11077.44286028653,17075.88568218666
11033.055134611232,14945.457258279475,17540.139395591057
11354.375440551921,15317.617873781532,18016.994662524223
8767.059964230511,15577.808193837018,18634.027372845165
11161.854201946557,14294.830416539435,13944.525457720167
10626.842012977067,12053.568927661889,21192.33976196262
10886.351038228306,13616.917146637496,18520.25944073926
11984.673111873297,12968.637210639283,19308.98657039699
9638.643717982228,14282.183543683484,18453.826781019918
10830.983945190741,13436.42026134679,17571.185076047066
10405.276234452993,13723.481184797261,17182.94451895699
11834.604009949726,16138.960197012551,18221.0625273809
12569.541302031179,16584.17221990492,18349.720384146887
9089.149475252621,11519.68333717917,20657.102037461747
12171.820862205232,13034.146780687379,18795.93281645475
15131.566640437668,12339.320097072148,17692.97606045806
8057.68614833475,16569.81664511623,22569.09975516752
9339.656209369772,13875.327404648151,15057.3198404789
9238.844800311657,17042.877748732295,14917.518895421948
10441.80455691342,12997.080205220886,18815.584719859504
14245.698171908003,14054.599987789883,17511.541443371574
11026.705352694353,11167.737461725792,13918.429227082883
9610.612809425547,16735.32462662098,17281.87177883103
12243.607008611145,13238.514616087756,16365.491727434199
9800.390937858305,10881.171452216546,20601.59578097741
13246.824324043871,12755.831301178134,16571.120928010438
11610.534080488022,9159.69333068271,20416.413692394726
13777.558792740536,13933.183937332538,19057.497910483424
9677.311513693963,14236.224259069812,17525.438902296777
17061.71422474406,14604.964150710815,18048.69520575274
12649.169250066914,17146.02718551177,18985.915101157938
12309.160305173402,13367.950076693789,12691.51141865491
10897.623104784672,15695.657425711068,18752.257337409545
9548.805761731146,14655.7012469273,17128.024895158072
9264.462644752819,13594.024555004591,22135.214542692658
10728.045347798821,9638.715753960536,16410.081399447026
9405.460429013741,15989.75245142592,20627.897016012008
11565.351424496841,12941.654706801133,12215.67336386671
9347.80513630536,14037.707372466735,19873.63753446386
12242.165401678018,11332.032369590492,18635.036334023534
12912.243408249393,14594.290621003103,17431.86207096281
9588.318985195432,14226.864716355925,17721.954585881427
13385.372135509388,14061.776999838608,17400.710641568592
10524.116128495634,13716.93442847898,18972.907382041536
13310.57577217645,16203.358410580393,17691.228301350267
11876.332694582476,16029.063811414517,13888.203270638964
13244.656643314185,15524.425390293723,17572.635029405243
9005.960408940635,20974.265387957767,23139.859996539537
10786.41202644155,12739.52680620764,18107.74627117409
13902.858521181872,13203.013217378853,18668.812276878023
9763.926304636843,11868.91224919679,16992.474632778467
6925.59754863841,14915.571012222461,18400.325272171976
7114.821637047089,12556.276474573633,18409.274783311703
5987.118694647877,8333.4403425013,17399.235585250022
6771.672156166348,11451.98993575972,19985.505817556055
10176.721673623035,14151.728988227358,15876.920698706042
13557.056165683443,16120.553403389873,17700.551021136147
10115.541440973655,10730.422728483434,19161.623630271824
11647.054707202864,12713.871530602877,17385.890387513595
10780.017019672787,13707.361208553066,15185.076803676937
11017.09789087205,12470.071272208126,19284.007702705567
10663.602320510568,15115.443966258073,15741.029796534061
10651.639311384019,14008.40176814829,16971.191227967232
11922.328199954034,14674.658420416046,16095.26054486697
8648.034657117369,12477.04865593473,17745.324647705474
13020.254354669449,17226.726288844307,17012.41226161007
12840.035866495526,13999.212481607452,16908.443305717363
10609.885318248198,16716.454203392947,19566.25153282232
12610.786848464362,13078.104906300818,22054.00047325829
9597.311147485647,15239.082874737744,17177.71730775627
9925.553952249324,12573.294055705808,19202.106900425682
11312.527700540166,12003.090572793384,17182.548971868073
10619.557949830278,12520.864303800736,18227.56716587474
10102.523934656754,13903.679959253488,20593.828093385528
9655.103922426808,13540.65973616781,18115.674449762213
9885.010556427913,17232.33472027563,16124.241092229084
12878.337488392976,11587.721117762414,16321.16879173843
7113.3531886632945,11710.289501844889,16581.48322235932
11704.988728738666,17570.395107955606,17969.40029099276
10527.126096374026,15278.445683707028,19973.426339809484
12455.626999999298,10049.037178951276,14874.767265465562
12030.147227278732,15044.265107156552,15614.234910483536
5434.931064694155,14498.398668613152,15873.55521337509
12169.293220954853,9496.667501870255,13976.36753002279
11648.548486896841,13223.91890679139,21049.622172023508
11043.725673253104,13963.344601144026,17916.329119342583
10062.652367444218,15535.945285962638,22371.792435364798
12706.562443911245,16004.440899750143,14724.032547083696
10173.941380577935,14201.068219331282,20976.619320496102
14669.435253299373,16170.246686854898,16386.208376022885
12128.765710988628,13692.826123316157,17063.049724098917
15275.656134878966,12199.256668046479,15725.381748689464
9428.932006159528,12038.218129389306,15815.313123178385
7488.148719534296,15139.555118589264,14955.385554174325
12429.579194971631,9887.844920242078,18497.56580252709
12705.408123450572,15423.395899351604,14977.33762518831
11070.720194109515,11676.19655847704,17443.855709757394
7922.413508510714,13245.629399007448,17978.83644824018
10104.209630567762,15061.301995781127,19533.204576434055
12235.97106784067,16557.67589168283,18230.90096151896
10631.64734869251,9924.569974833725,18739.04941696395
10768.029629055207,12307.02575489774,19183.14658930254
10649.082062676494,14103.029553983515,17960.32300990265
9132.170688746997,12748.21869736591,18835.70021272081
9933.959347832802,15809.408512816528,15746.643559676548
8146.889158958937,9618.579812541295,16216.418000180978
14535.919896622054,14759.783445199198,22364.274856420507
10049.254249724036,14894.432370655913,17973.011306933917
11955.220363635115,14103.068833997424,16365.848448266004
8956.22811071738,16314.69713842922,21173.723772463178
12589.056479202165,11417.8940675525,17639.261995816032
7253.678044729397,16328.095191778317,16513.070638396814
12841.230236109912,12523.867153888646,14667.319438399296
10929.264150242578,15523.656087965339,19792.831291920087
15221.21010720142,13319.171139081056,15501.50791341495
